city,state_id,state_name,country
New York,NY,New York,United States
Los Angeles,CA,California,United States
Chicago,IL,Illinois,United States
Miami,FL,Florida,United States
Houston,TX,Texas,United States
Dallas,TX,Texas,United States
Philadelphia,PA,Pennsylvania,United States
Atlanta,GA,Georgia,United States
Washington,DC,District of Columbia,United States
Boston,MA,Massachusetts,United States
Phoenix,AZ,Arizona,United States
Detroit,MI,Michigan,United States
Seattle,WA,Washington,United States
San Francisco,CA,California,United States
San Diego,CA,California,United States
Minneapolis,MN,Minnesota,United States
Tampa,FL,Florida,United States
Brooklyn,NY,New York,United States
Denver,CO,Colorado,United States
Queens,NY,New York,United States
Riverside,CA,California,United States
Las Vegas,NV,Nevada,United States
Baltimore,MD,Maryland,United States
St. Louis,MO,Missouri,United States
Portland,OR,Oregon,United States
San Antonio,TX,Texas,United States
Sacramento,CA,California,United States
Austin,TX,Texas,United States
Orlando,FL,Florida,United States
San Juan,PR,Puerto Rico,United States
San Jose,CA,California,United States
Pittsburgh,PA,Pennsylvania,United States
Indianapolis,IN,Indiana,United States
Manhattan,NY,New York,United States
Cincinnati,OH,Ohio,United States
Kansas City,MO,Missouri,United States
Cleveland,OH,Ohio,United States
Columbus,OH,Ohio,United States
Bronx,NY,New York,United States
Virginia Beach,VA,Virginia,United States
Charlotte,NC,North Carolina,United States
Milwaukee,WI,Wisconsin,United States
Providence,RI,Rhode Island,United States
Jacksonville,FL,Florida,United States
Nashville,TN,Tennessee,United States
Salt Lake City,UT,Utah,United States
Raleigh,NC,North Carolina,United States
Richmond,VA,Virginia,United States
Memphis,TN,Tennessee,United States
Oklahoma City,OK,Oklahoma,United States
Hartford,CT,Connecticut,United States
Louisville,KY,Kentucky,United States
Buffalo,NY,New York,United States
New Orleans,LA,Louisiana,United States
Fort Worth,TX,Texas,United States
Bridgeport,CT,Connecticut,United States
Tucson,AZ,Arizona,United States
El Paso,TX,Texas,United States
Omaha,NE,Nebraska,United States
McAllen,TX,Texas,United States
Birmingham,AL,Alabama,United States
Albuquerque,NM,New Mexico,United States
Tulsa,OK,Oklahoma,United States
Fresno,CA,California,United States
Charleston,SC,South Carolina,United States
Rochester,NY,New York,United States
Dayton,OH,Ohio,United States
Cape Coral,FL,Florida,United States
Mission Viejo,CA,California,United States
Colorado Springs,CO,Colorado,United States
Baton Rouge,LA,Louisiana,United States
Allentown,PA,Pennsylvania,United States
Ogden,UT,Utah,United States
Provo,UT,Utah,United States
Knoxville,TN,Tennessee,United States
Grand Rapids,MI,Michigan,United States
Columbia,SC,South Carolina,United States
Albany,NY,New York,United States
Bakersfield,CA,California,United States
New Haven,CT,Connecticut,United States
Des Moines,IA,Iowa,United States
Akron,OH,Ohio,United States
Palm Bay,FL,Florida,United States
Concord,CA,California,United States
Wichita,KS,Kansas,United States
Mesa,AZ,Arizona,United States
Harrisburg,PA,Pennsylvania,United States
Staten Island,NY,New York,United States
Toledo,OH,Ohio,United States
Worcester,MA,Massachusetts,United States
Long Beach,CA,California,United States
Port St. Lucie,FL,Florida,United States
Little Rock,AR,Arkansas,United States
Reno,NV,Nevada,United States
Spokane,WA,Washington,United States
Madison,WI,Wisconsin,United States
Boise,ID,Idaho,United States
Bonita Springs,FL,Florida,United States
Denton,TX,Texas,United States
Oakland,CA,California,United States
Springfield,MA,Massachusetts,United States
Augusta,GA,Georgia,United States
Kissimmee,FL,Florida,United States
Winston-Salem,NC,North Carolina,United States
Stockton,CA,California,United States
Syracuse,NY,New York,United States
Chattanooga,TN,Tennessee,United States
Lancaster,PA,Pennsylvania,United States
Greenville,SC,South Carolina,United States
Durham,NC,North Carolina,United States
Pensacola,FL,Florida,United States
Fayetteville,AR,Arkansas,United States
Arlington,TX,Texas,United States
Aurora,CO,Colorado,United States
Oxnard,CA,California,United States
Indio,CA,California,United States
Scranton,PA,Pennsylvania,United States
Victorville,CA,California,United States
Trenton,NJ,New Jersey,United States
Modesto,CA,California,United States
Huntsville,AL,Alabama,United States
Honolulu,HI,Hawaii,United States
Greensboro,NC,North Carolina,United States
Anaheim,CA,California,United States
Corpus Christi,TX,Texas,United States
Fort Wayne,IN,Indiana,United States
Fort Collins,CO,Colorado,United States
Jackson,MS,Mississippi,United States
Myrtle Beach,SC,South Carolina,United States
Fayetteville,NC,North Carolina,United States
Antioch,CA,California,United States
Lansing,MI,Michigan,United States
Lexington,KY,Kentucky,United States
Mobile,AL,Alabama,United States
Youngstown,OH,Ohio,United States
Henderson,NV,Nevada,United States
Savannah,GA,Georgia,United States
Poughkeepsie,NY,New York,United States
Santa Ana,CA,California,United States
Ann Arbor,MI,Michigan,United States
St. Paul,MN,Minnesota,United States
Newark,NJ,New Jersey,United States
Irvine,CA,California,United States
Santa Rosa,CA,California,United States
Canton,OH,Ohio,United States
Asheville,NC,North Carolina,United States
Flint,MI,Michigan,United States
Winter Haven,FL,Florida,United States
Anchorage,AK,Alaska,United States
Lincoln,NE,Nebraska,United States
Concord,NC,North Carolina,United States
Jersey City,NJ,New Jersey,United States
Springfield,MO,Missouri,United States
Plano,TX,Texas,United States
Shreveport,LA,Louisiana,United States
Davenport,IA,Iowa,United States
Lubbock,TX,Texas,United States
Lakeland,FL,Florida,United States
South Bend,IN,Indiana,United States
Chula Vista,CA,California,United States
Chandler,AZ,Arizona,United States
Rockford,IL,Illinois,United States
Reading,PA,Pennsylvania,United States
Eugene,OR,Oregon,United States
Wilmington,NC,North Carolina,United States
Santa Clarita,CA,California,United States
Gilbert,AZ,Arizona,United States
Salem,OR,Oregon,United States
Killeen,TX,Texas,United States
Round Lake Beach,IL,Illinois,United States
Columbus,GA,Georgia,United States
North Las Vegas,NV,Nevada,United States
Kennewick,WA,Washington,United States
St. Petersburg,FL,Florida,United States
Tallahassee,FL,Florida,United States
Laredo,TX,Texas,United States
Irving,TX,Texas,United States
Peoria,IL,Illinois,United States
Montgomery,AL,Alabama,United States
Chesapeake,VA,Virginia,United States
Glendale,AZ,Arizona,United States
York,PA,Pennsylvania,United States
Nashua,NH,New Hampshire,United States
Garland,TX,Texas,United States
Scottsdale,AZ,Arizona,United States
Lafayette,LA,Louisiana,United States
Norfolk,VA,Virginia,United States
Arlington,VA,Virginia,United States
Appleton,WI,Wisconsin,United States
Aguadilla,PR,Puerto Rico,United States
Rock Hill,SC,South Carolina,United States
Fremont,CA,California,United States
Fargo,ND,North Dakota,United States
Gulfport,MS,Mississippi,United States
Bremerton,WA,Washington,United States
Green Bay,WI,Wisconsin,United States
Enterprise,NV,Nevada,United States
Hialeah,FL,Florida,United States
Deltona,FL,Florida,United States
San Bernardino,CA,California,United States
Gainesville,FL,Florida,United States
Spring Valley,NV,Nevada,United States
Tacoma,WA,Washington,United States
Roanoke,VA,Virginia,United States
Brownsville,TX,Texas,United States
College Station,TX,Texas,United States
Olympia,WA,Washington,United States
Clarksville,TN,Tennessee,United States
Yonkers,NY,New York,United States
Moreno Valley,CA,California,United States
Thousand Oaks,CA,California,United States
Portland,ME,Maine,United States
Fontana,CA,California,United States
Hickory,NC,North Carolina,United States
